Average Sentence Length,MY_AI,MY_FK,ContentID
13.0,0,1,news_plf11s00347
12.0,0,1,news_plf11s00348
30.0,0,1,news_plf11s00349
7.75,0,1,news_plf11s00350
15.6,0,1,news_plf11s00351
13.75,0,1,news_plf11s00352
13.25,0,1,news_plf11s00353
10.2,0,1,news_plf11s00354
11.0,0,1,news_plf11s00355
26.0,0,1,news_plf11s00356
9.8,0,1,news_plf11s00357
14.6,0,1,news_plf11s00358
10.6,0,1,news_plf11s00359
6.0,0,1,news_plf11s00360
22.333333333333332,0,1,news_plf11s00361
10.833333333333334,0,1,news_plf11s00362
13.25,0,1,news_plf11s00363
10.2,0,1,news_plf11s00364
10.0,0,1,news_plf11s00365
14.25,0,1,news_plf11s00366
12.2,0,1,news_plf11s00367
14.75,0,1,news_plf11s00368
9.5,0,1,news_plf11s00369
9.5,0,1,news_plf11s00370
11.5,0,1,news_plf11s00371
14.75,0,1,news_plf11s00372
13.0,0,1,news_plf11s00373
15.166666666666666,0,1,news_plf11s00374
17.333333333333332,0,1,news_plf11s00375
15.75,0,1,news_plf11s00376
6.375,0,1,news_plf11s00377
15.75,0,1,news_plf11s00378
11.4,0,1,news_plf11s00379
12.8,0,1,news_plf11s00380
9.6,0,1,news_plf11s00381
11.166666666666666,0,1,news_plf11s00382
9.666666666666666,0,1,news_plf11s00383
7.8,0,1,news_plf11s00384
33.0,0,1,news_plf11s00385
15.75,0,1,news_plf11s00386
11.0,0,1,news_plf11s00387
12.6,0,1,news_plf11s00388
10.166666666666666,0,1,news_plf11s00389
11.6,0,1,news_plf11s00390
11.8,0,1,news_plf11s00391
12.0,0,1,news_plf11s00392
10.2,0,1,news_plf11s00393
18.666666666666668,0,1,news_plf11s00394
13.0,0,1,news_plf11s00395
17.75,0,1,news_plf11s00396
18.0,0,1,news_plf11s00397
12.0,0,1,news_plf11s00398
11.571428571428571,0,1,news_plf11s00399
14.25,0,1,news_plf11s00400
7.625,0,1,news_plf11s00401
9.833333333333334,0,1,news_plf11s00402
7.428571428571429,0,1,news_plf11s00403
11.2,0,1,news_plf11s00404
8.0,0,1,news_plf11s00405
6.875,0,1,news_plf11s00406
8.666666666666666,0,1,news_plf11s00407
14.0,0,1,news_plf11s00408
12.5,0,1,news_plf11s00409
12.714285714285714,0,1,news_plf11s00410
14.0,0,1,news_plf11s00411
13.4,0,1,news_plf11s00412
11.666666666666666,0,1,news_plf11s00413
15.5,0,1,news_plf11s00414
7.714285714285714,0,1,news_plf11s00415
10.333333333333334,0,1,news_plf11s00416
13.6,0,1,news_plf11s00417
9.4,0,1,news_plf11s00418
17.0,0,1,news_plf11s00419
19.333333333333332,0,1,news_plf11s00420
14.0,0,1,news_plf11s00421
11.5,0,1,news_plf11s00422
7.285714285714286,0,1,news_plf11s00423
9.8,0,1,news_plf11s00424
12.0,0,1,news_plf11s00425
13.5,0,1,news_plf11s00426
16.25,0,1,news_plf11s00427
10.8,0,1,news_plf11s00428
23.333333333333332,0,1,news_plf11s00429
24.5,0,1,news_plf11s00430
11.4,0,1,news_plf11s00431
12.25,0,1,news_plf11s00432
4.333333333333333,0,1,news_plf11s00433
15.0,0,1,news_plf11s00434
15.0,0,1,news_plf11s00435
11.5,0,1,news_plf11s00436
8.285714285714286,0,1,news_plf11s00437
11.2,0,1,news_plf11s00438
8.571428571428571,0,1,news_plf11s00439
17.666666666666668,0,1,news_plf11s00440
8.0,0,1,news_plf11s00441
10.6,0,1,news_plf11s00443
12.4,0,1,news_plf11s00444
12.8,0,1,news_plf11s00445
16.0,0,1,news_plf11s00446
14.4,0,1,news_plf11s00447
8.857142857142858,0,1,news_plf11s00448
12.4,0,1,news_plf11s00449
10.2,0,1,news_plf11s00450
13.5,0,1,news_plf11s00451
9.333333333333334,0,1,news_plf11s00452
10.0,0,1,news_plf11s00453
15.0,0,1,news_plf11s00454
13.4,0,1,news_plf11s00455
8.125,0,1,news_plf11s00456
11.8,0,1,news_plf11s00457
7.833333333333333,0,1,news_plf11s00458
9.333333333333334,0,1,news_plf11s00459
9.833333333333334,0,1,news_plf11s00460
12.75,0,1,news_plf11s00461
10.0,0,1,news_plf11s00462
16.0,0,1,news_plf11s00463
14.25,0,1,news_plf11s00464
10.2,0,1,news_plf11s00465
11.75,0,1,news_plf11s00466
9.833333333333334,0,1,news_plf11s00467
8.5,0,1,news_plf11s00468
16.666666666666668,0,1,news_plf11s00469
22.0,0,1,news_plf11s00470
10.4,0,1,news_plf11s00471
13.4,0,1,news_plf11s00472
10.75,0,1,news_plf11s00473
12.8,0,1,news_plf11s00474
27.0,0,1,news_plf11s00475
12.2,0,1,news_plf11s00476
12.0,0,1,news_plf11s00477
9.0,0,1,news_plf11s00478
9.0,0,1,news_plf11s00479
9.5,0,1,news_plf11s00480
15.25,0,1,news_plf11s00481
15.0,0,1,news_plf11s00482
9.285714285714286,0,1,news_plf11s00483
10.4,0,1,news_plf11s00484
13.5,0,1,news_plf11s00485
18.666666666666668,0,1,news_plf11s00486
9.8,0,1,news_plf11s00487
12.6,0,1,news_plf11s00488
15.833333333333334,0,1,news_plf11s00489
13.25,0,1,news_plf11s00490
15.0,0,1,news_plf11s00491
11.8,0,1,news_plf11s00492
10.2,0,1,news_plf11s00493
18.0,0,1,news_plf11s00494
4.916666666666667,0,1,news_plf11s00495
10.2,0,1,news_plf11s00496
11.5,0,1,news_plf11s00497
12.2,0,1,news_plf11s00498
9.6,0,1,news_plf11s00499
9.0,0,1,news_plf11s00500
17.333333333333332,0,1,news_plf11s00501
12.5,0,1,news_plf11s00502
13.6,0,1,news_plf11s00503
14.75,0,1,news_plf11s00504
13.5,0,1,news_plf11s00505
14.0,0,1,news_plf11s00506
12.0,0,1,news_plf11s00507
10.5,0,1,news_plf11s00508
6.0,0,1,news_plf11s00509
8.625,0,1,news_plf11s00510
11.8,0,1,news_plf11s00511
12.0,0,1,news_plf11s00512
26.0,0,1,news_plf11s00513
10.0,0,1,news_plf11s00514
10.8,0,1,news_plf11s00515
7.625,0,1,news_plf11s00516
17.0,0,1,news_plf11s00517
7.285714285714286,0,1,news_plf11s00518
8.666666666666666,0,1,news_plf11s00519
5.8,0,1,news_plf11s00520
12.0,0,1,news_plf11s00521
11.4,0,1,news_plf11s00522
11.833333333333334,0,1,news_plf11s00523
18.0,0,1,news_plf11s00524
4.75,0,1,news_plf11s00525
11.2,0,1,news_plf11s00526
12.4,0,1,news_plf11s00527
12.6,0,1,news_plf11s00528
11.2,0,1,news_plf11s00529
30.0,0,1,news_plf11s00530
23.333333333333332,0,1,news_plf11s00531
10.2,0,1,news_plf11s00532
12.0,0,1,news_plf11s00533
16.0,0,1,news_plf11s00534
15.25,0,1,news_plf11s00535
8.5,0,1,news_plf11s00536
11.0,0,1,news_plf11s00537
12.6,0,1,news_plf11s00538
10.4,0,1,news_plf11s00539
15.333333333333334,0,1,news_plf11s00540
15.0,0,1,news_plf11s00541
16.666666666666668,0,1,news_plf11s00543
9.2,0,1,news_plf11s00544
10.5,0,1,news_plf11s00545
8.666666666666666,0,1,news_plf11s00546
21.666666666666668,0,1,news_plf11s00547
10.8,0,1,news_plf11s00548
9.2,0,1,news_plf11s00549
7.857142857142857,0,1,news_plf11s00550
26.5,0,1,news_plf11s00551
12.0,0,1,news_plf11s00552
9.8,0,1,news_plf11s00553
25.333333333333332,0,1,news_plf11s00554
13.0,0,1,news_plf11s00555
13.5,0,1,news_plf11s00556
14.333333333333334,0,1,news_plf11s00557
9.2,0,1,news_plf11s00558
8.666666666666666,0,1,news_plf11s00559
14.5,0,1,news_plf11s00560
10.5,0,1,news_plf11s00561
13.25,0,1,news_plf11s00562
7.285714285714286,0,1,news_plf11s00563
11.2,0,1,news_plf11s00564
11.6,0,1,news_plf11s00565
11.0,0,1,news_plf11s00566
7.833333333333333,0,1,news_plf11s00567
12.333333333333334,0,1,news_plf11s00568
8.857142857142858,0,1,news_plf11s00569
9.5,0,1,news_plf11s00570
12.0,0,1,news_plf11s00571
15.0,0,1,news_plf11s00572
13.5,0,1,news_plf11s00573
14.5,0,1,news_plf11s00574
19.0,0,1,news_plf11s00575
14.6,0,1,news_plf11s00576
10.0,0,1,news_plf11s00577
19.333333333333332,0,1,news_plf11s00578
13.6,0,1,news_plf11s00579
10.0,0,1,news_plf11s00580
10.6,0,1,news_plf11s00581
8.2,0,1,news_plf11s00582
12.166666666666666,0,1,news_plf11s00583
10.0,0,1,news_plf11s00584
10.8,0,1,news_plf11s00585
14.333333333333334,0,1,news_plf11s00586
18.666666666666668,0,1,news_plf11s00587
6.875,0,1,news_plf11s00588
12.4,0,1,news_plf11s00589
14.4,0,1,news_plf11s00590
10.4,0,1,news_plf11s00591
7.666666666666667,0,1,news_plf11s00592
11.5,0,1,news_plf11s00594
13.8,0,1,news_plf11s00595
20.25,0,1,news_plf11s00596
10.25,0,1,news_plf11s00597
6.428571428571429,0,1,news_plf11s00598
14.25,0,1,news_plf11s00599
12.5,0,1,news_plf11s00600
11.0,0,1,news_plf11s00601
9.25,0,1,news_plf11s00602
4.846153846153846,0,1,news_plf11s00603
11.4,0,1,news_plf11s00604
15.0,0,1,news_plf11s00605
10.8,0,1,news_plf11s00606
11.333333333333334,0,1,news_plf11s00607
17.0,0,1,news_plf11s00608
13.0,0,1,news_plf11s00609
10.666666666666666,0,1,news_plf11s00610
18.0,0,1,news_plf11s00611
12.5,0,1,news_plf11s00612
13.833333333333334,0,1,news_plf11s00613
14.8,0,1,news_plf11s00614
17.666666666666668,0,1,news_plf11s00615
11.0,0,1,news_plf11s00616
13.6,0,1,news_plf11s00617
21.333333333333332,0,1,news_plf11s00618
16.0,0,1,news_plf11s00619
8.857142857142858,0,1,news_plf11s00620
14.75,0,1,news_plf11s00621
18.0,0,1,news_plf11s00622
15.75,0,1,news_plf11s00623
11.571428571428571,0,1,news_plf11s00624
11.0,0,1,news_plf11s00625
12.2,0,1,news_plf11s00626
8.166666666666666,0,1,news_plf11s00627
13.5,0,1,news_plf11s00628
8.857142857142858,0,1,news_plf11s00629
10.333333333333334,0,1,news_plf11s00630
12.4,0,1,news_plf11s00631
8.571428571428571,0,1,news_plf11s00632
17.75,0,1,news_plf11s00633
9.4,0,1,news_plf11s00634
12.25,0,1,news_plf11s00635
17.666666666666668,0,1,news_plf11s00636
11.166666666666666,0,1,news_plf11s00637
9.8,0,1,news_plf11s00638
10.8,0,1,news_plf11s00639
15.666666666666666,0,1,news_plf11s00640
13.0,0,1,news_plf11s00641
16.0,0,1,news_plf11s00642
12.0,0,1,news_plf11s00643
20.0,0,1,news_plf11s00644
12.4,0,1,news_plf11s00645
15.0,0,1,news_plf11s00646
8.5,0,1,news_plf11s00647
20.0,0,1,news_plf11s00648
12.0,0,1,news_plf11s00649
11.4,0,1,news_plf11s00650
21.333333333333332,0,1,news_plf11s00651
12.8,0,1,news_plf11s00652
13.0,0,1,news_plf11s00653
17.0,0,1,news_plf11s00654
16.6,0,1,news_plf11s00655
12.0,0,1,news_plf11s00656
15.0,0,1,news_plf11s00657
12.4,0,1,news_plf11s00658
10.285714285714286,0,1,news_plf11s00660
12.5,0,1,news_plf11s00661
9.25,0,1,news_plf11s00662
13.4,0,1,news_plf11s00663
10.0,0,1,news_plf11s00664
14.0,0,1,news_plf11s00665
17.25,0,1,news_plf11s00666
9.571428571428571,0,1,news_plf11s00667
8.571428571428571,0,1,news_plf11s00668
12.333333333333334,0,1,news_plf11s00669
26.0,0,1,news_plf11s00670
16.8,0,1,news_plf11s00671
9.5,0,1,news_plf11s00673
8.333333333333334,0,1,news_plf11s00674
12.8,0,1,news_plf11s00675
13.75,0,1,news_plf11s00676
