Average Sentence Length,MY_AI,MY_FK,ContentID
47.54545455,0,1,7394397147073954339
31.98550725,0,0,7395871058043224630
50.71428571,0,1,7396144361718776359
34.73809524,0,0,7396145236713538084
26.22727273,1,0,7396443439660794378
19.89497717,0,0,7396626266943717928
22.12121212,1,0,7396914926582759973
24.31034483,0,0,7396960599886643763
66.08333333,0,0,7397028103425376803
19.53333333,0,0,7397228554360046117
15.53846154,0,0,7397244821976498715
17.06382979,0,1,7397332591478686235
21.625,0,0,7397366297312444939
24.57894737,0,0,7397367011279471104
19.56666667,0,0,7397581515376329268
21,0,0,7397375941476975156
27.25,0,0,7397613332507656704
14.29411765,0,0,7397466534001607179
23.01428571,1,1,7397628402674467338
21.26851852,0,1,7397740894152016384
18.57142857,0,1,7397683919618867749
32.2,0,0,7397815518750638627
17.61111111,0,0,7398123730352538148
16.19387755,0,0,7397799652684349987
15.69642857,0,1,7398368906118824482
32.93617021,0,0,7398410330046546444
36.98113208,0,1,7398459307651645978
20.69230769,1,0,7398163387311489588
29.27777778,0,0,7398499615206638120
30.9,0,0,7398560410300908086
19.25490196,0,0,7398570716960014900
20.4556962,0,0,7398431849111994931
25.98148148,0,0,7398786896513548850
58.76,0,1,7398814385034101267
26.81132075,0,0,7398847792183886345
22.11111111,0,0,7398877503437144576
37.41666667,0,0,7398907818776035874
39.66666667,0,1,7398914569260909093
22.93902439,0,0,7398948488773517863
41.08823529,0,1,7399184195005989426
31.91666667,0,1,7399234934134538771
32.34693878,0,1,7399280862291886601
34.2962963,0,0,7399347792957538851
20.95555556,0,0,7399467832884363814
19.02325581,0,0,7399486086252331556
23.34920635,0,1,7399525866771874342
41.16666667,0,1,7397309743749956137
19.29333333,0,1,7399546099834421814
22.22727273,0,1,7399618481261445670
19.59459459,0,0,7399665178863796774
26.78947368,0,0,7399525388454298121
28.03571429,0,0,7399689092042097203
16.95238095,1,1,7399896050141643327
27.66216216,0,1,7399959488951763519
24.72727273,0,1,7399974305918730767
52.625,0,0,7400198690239873547
25.93548387,0,1,7400281105590436415
16.21769912,0,0,7400260369840751104
24.27906977,0,1,7400316694696149538
23.85245902,0,1,7400333610508665353
28.51351351,0,1,7400359005283041829
33.01886792,0,1,7400366543332246016
21.4057971,1,1,7400291626842669587
26.82638889,0,1,7400346496425607695
24.50684932,0,0,7400378571497177609
30.1884058,0,0,7400345819829912127
18.625,0,0,7400413938384503330
26.68518519,0,0,7400290602065183270
34.10526316,0,0,7400554485224981018
26.58333333,0,0,7400558481318756915
37.86111111,0,1,7400373028946854410
26.63636364,1,0,7400595377600086528
24.66666667,0,1,7399589785846727205
35.5625,0,1,7400638408500773428
22.40540541,0,0,7398826671798845990
25.66666667,0,0,7399589966042481178
24.89285714,0,0,7400584207141192207
37.94444444,0,1,7400701223437697576
19.05479452,0,0,7400699681577255461
20.92307692,0,0,7400973146913833472
32.69767442,0,1,7401027447786979877
33.28571429,0,0,7401072629110604326
22.36666667,0,0,7401133123045540387
25.5,0,0,7401138894223213106
53.30769231,0,0,7401175750529614370
28.77272727,0,0,7401282195010142759
19.96202532,0,0,7401370497071497747
37.5,0,1,7401410793142551076
20.86567164,0,1,7400717821384966693
36.54347826,0,0,7401412483979788863
28.5,0,0,7401450043636498953
19.26530612,0,0,7401481797059527209
19.81203008,0,0,7401489382491816482
24.07407407,0,0,7401534759937098251
27.5,0,1,7401485706454450703
22.57142857,0,0,7401701251466969619
24.85714286,0,1,7400685870501691967
18.36585366,0,1,7401374153384772133
38.08,0,0,7401761818588348978
24.96,0,0,7401363006531076648
32.89705882,0,0,7401766297136022042
25.23809524,0,1,7401413553678205477
30.88888889,0,1,7401828080278307355
24.14285714,0,1,7401851891363988005
28.15789474,0,1,7401855366974013990
36.22,0,0,7401873872990700071
9.6440678,0,0,7401817248463143436
29.95833333,0,0,7402099525966152219
23.62637363,0,0,7402102122180936230
65.22222222,0,0,7402141591375036967
12.33333333,0,0,7402057087909462547
25.46153846,0,0,7402161056786825764
33.578125,0,0,7402161502871896613
28.71111111,0,0,7402166842356007474
36.26785714,0,1,7402192844036866612
26.82978723,0,1,7402205442518843923
22.10606061,1,0,7402186307939729931
47.39130435,0,1,7402229954941043215
18.39285714,0,0,7402419360473596468
42.34375,0,0,7402276619315937802
21.07142857,0,0,7402432823661806132
16.26086957,0,0,7402455424978420274
15.41935484,0,0,7402476964868719116
25.86666667,0,0,7402483106131608116
22.69014085,0,1,7402521014829072933
17.30487805,0,0,7402526373689983540
23.48837209,0,1,7402473112855036456
21.46666667,0,0,7402524412341174795
23.68571429,0,0,7402556353845215782
43,0,0,7401867900065202700
36.61290323,0,1,7402446948294345243
21.36363636,0,0,7402613197653508619
18.93258427,0,1,7402556466605916691
20.6875,1,0,7402789229513802266
44.11428571,0,0,7402687548096561703
22.83333333,0,1,7402800877335020044
40,0,0,7402842473120170506
28.65116279,0,0,7402855209065660937
37.76190476,0,0,7402862027880055334
21.32876712,1,0,7402865565292921384
27.25925926,0,0,7402871159500538394
19.19354839,0,1,7402876501688877595
18.46666667,0,0,7402896270202798643
31.07936508,0,1,7402938019566666277
22.73684211,0,0,7402644210349851188
15.90909091,0,0,7402943011170173451
29.28947368,1,1,7403009378246427147
21.62365591,0,0,7403125214919344640
36.07407407,0,1,7403136235453039140
27.90909091,0,1,7403173944016060980
16.80555556,0,0,7403167616652853797
28.16666667,0,0,7402936015326806567
19.53333333,0,0,7403221751410262564
18.58695652,0,1,7403239732471284251
16.19318182,0,0,7403243532204474931
20.16666667,0,1,7403231823016313394
27.14084507,1,1,7403258075937014324
12.30952381,0,1,7402940054210953747
26.96666667,0,1,7402959285124121140
53.71428571,0,1,7403294083654992411
44.84375,0,0,7402552570901758483
46.86666667,0,1,7403270147829170723
34.25,0,0,7403279789013860899
23.23809524,0,0,7403284043908907583
24.01515152,0,0,7403243141504959039
14.68421053,0,0,7403337186126365219
27.56363636,0,0,7403306345228698131
33.9047619,0,0,7403316995661267508
10,0,0,1807517673472011
14.71052632,0,0,7403523591565738506
15.84444444,0,1,7403608969375138338
21.02739726,0,1,7403619999996314148
33.42622951,0,0,7403637575874855436
48.66666667,0,1,7403668296651899443
24.4494382,0,0,7403676158643962378
22.42666667,0,0,7403677168485630499
26.12941176,0,1,7403699343206236724
40.91666667,0,0,7403701883208057356
37.46808511,0,0,7403690302734680612
30.60194175,0,0,7403753647168930319
21.14285714,0,1,7403300309201699340
19.68918919,0,0,7403919703917330963
20.95412844,0,1,7403888093201187328
20.25694444,0,0,7403936869416796681
17.70833333,0,0,7403888065724432931
39.60526316,0,1,7403963178649961011
18.47058824,0,1,7403966782984061477
62.625,0,0,7403970686639538739
18.13559322,0,1,7403995963934687783
25.12068966,0,0,7403634949833622050
18.64,0,0,7404007770200031796
23.40298507,0,0,7404039675758772790
29.18518519,0,1,7404048566656565798
17.52173913,0,1,7404001521890820671
34.20967742,0,0,7404087231474008617
31.51162791,0,1,7404130637000475186
22.6,0,0,7404141267238322726
18.45454545,0,0,7404311146607723023
25.64285714,0,0,7404311072032703012
30.30434783,0,1,7404010953433514496
23.31343284,0,0,7404314890606838313
20.74390244,0,0,7404358060749980212
25.17241379,0,0,7404057554387239487
24.77586207,0,0,7403688199790363186
24.46,0,0,7404382752727564863
23.21052632,0,0,7404397509814075956
88.25,0,0,7404424567030039081
28.95652174,0,0,7404383255127966220
24,1,0,7404430570165420585
26.05882353,0,0,1806107275683851
24.39473684,0,0,7404455033368035875
20.72340426,0,1,7404604634536346164
32.2962963,0,0,7403610818929050122
17.20731707,0,0,7404104673927381555
38.69090909,0,1,7404671465839002147
66.11111111,0,1,7404666904519918116
45.375,0,0,7404679418590855720
36.15789474,0,1,7404689072582558223
20.89705882,1,0,7404722654885855784
26.425,0,0,7404755635595674147
41.31818182,0,0,7404765077397701171
34.36,0,0,7404768996249879049
17.14925373,0,1,7404650227703038476
24.57692308,0,0,7404783475049366079
27.15384615,0,1,7404788327678771739
19.33009709,0,0,7404786707448496680
21.28947368,0,1,7404799270659932708
13,0,1,7404150090610344459
18.6,0,0,7404789816979702284
22.15306122,0,0,7404808143198323212
28.57692308,0,0,7404815502125613620
31.34782609,0,0,7404819382243492393
14.62222222,0,0,7404748133005066787
18.34210526,0,0,7404787048168686092
23.57894737,0,0,7404860177327637018
12.1,0,0,7404803686470124047
17.27884615,0,0,7404790110107779634
25.0483871,0,1,7405010832192553522
22.0875,0,1,7405012134486098486
19.42857143,0,0,7404978633917399578
40.5,0,1,7403699015180698164
32.17647059,0,0,7405060448813269519
20.87671233,0,0,7405094913542554148
18.25806452,0,0,7403274553717998118
40.65306122,0,1,7405119584723927578
27.5,0,1,7404770777318408740
48,0,0,1807903636093962
30.07432432,0,0,7404825883602698763
26.5,0,0,7405132399656452660
23.75,0,1,7405217046989996581
17.625,0,1,7405353425627546139
17.1827957,0,1,7405397067256644123
19.87804878,0,0,7405427185995203126
22.60869565,1,1,7405454543074411023
28.31818182,0,1,7405472778419388940
12.2,0,1,7405420014674706995
24.51515152,0,0,7405455908865655346
18.94230769,0,0,7405500571321238051
19.21301775,0,0,7405459236744741428
25.47945205,0,0,7405557040120152603
22.40322581,0,0,7405536979424199219
23.06593407,0,1,7405545106645729832
18.81818182,0,0,7405473741490242082
42.92857143,0,0,7405603178928013850
16.77966102,0,0,7405558470206702134
18.65263158,0,1,7405119629238075914
35.83333333,0,1,7405782950568133139
32.40298507,0,0,7405789200106242560
29.68181818,0,1,7405791506608423476
23.36764706,1,1,7405812306166317604
20.85882353,1,1,7405841459590529577
27.33333333,0,0,7405807451544601088
21.15384615,0,0,7405857594117587471
22.53191489,0,1,7405881403037975059
28.94117647,0,0,7405872407442948623
22.7,0,0,7405854102896378408
29.15315315,0,0,7405886432667107903
23.01587302,0,1,7405853629317399066
35.28205128,0,1,7405889277831250443
22.04545455,0,0,7405893169395335690
16.40540541,0,1,7405844326271500835
33.79545455,0,1,7405786766571029044
26.61904762,0,0,7405589646194786851
34.83673469,0,1,7405908818279858703
18.03225806,0,1,7405995877351014946
33.86792453,0,0,7405864408771805705
16.92682927,0,0,7406162942787486244
30.60344828,0,0,7405530968158667273
21.52325581,0,1,7406205573169087011
26.10526316,0,1,7405889042954437132
26.01785714,0,0,7406238102555017782
14.90625,0,0,7406238230179299894
20.21666667,0,0,7406251391263457819
76.41176471,0,0,7405895107372761619
55.30769231,0,1,7406258996039991844
23.65957447,0,0,7406268349162488329
24.07777778,1,0,7406216440690278950
21.88888889,0,0,7406284345327059467
24.02631579,0,0,7405818838710878731
22.33333333,0,0,7406317696846955060
39.48148148,0,0,7406275662832714250
49.55555556,0,0,7405514068343194147
19.125,0,1,7406210316734710283
39.66666667,0,1,7406537503253070370
29.29787234,0,1,7406565011461620275
26.3902439,0,0,7406568354338701860
22.48979592,0,0,7406578291794018851
35.58928571,0,1,7406520942437876264
33.25454545,0,1,7406609102169866793
26.78571429,0,1,7406617264239182399
31.33333333,0,0,7406607499238457866
24.22222222,1,0,7406693176361009699
24.96629213,0,1,7406732828861366796
31.57692308,0,1,7406736580540514831
18.26732673,0,1,7406645651326370323
19.76,0,1,7406878151102382607
23.66197183,1,0,7406948362097852963
26,0,1,7406986482939888143
25.32352941,0,0,7407014994086298112
25.19402985,0,0,7407074711496098319
29.13793103,0,0,7407257345572487719
10.53333333,0,0,7406766781954425381
45.80645161,0,1,7407312803956064820
37.125,0,0,7407315293283926540
21.32258065,0,0,7407306512068100635
26.5,0,1,7407309114805600787
33.55172414,0,1,7407345822935728680
10.125,0,1,7407286800533701130
32.73846154,0,1,7407353401858474506
20.09090909,0,0,7407302430389584422
17.19607843,0,0,7407428257986986550
26.85483871,0,1,7407640470614753826
17.425,0,0,7407637583733457445
20.47619048,0,1,7407618687596904960
27.05,0,0,7407700153299321398
28.76470588,1,0,7407715393663517218
18.08108108,0,0,7407725717029224979
28.86666667,0,0,7407704470760522274
23.62745098,0,1,7407732422135120394
29.90909091,0,1,7402824746177069608
19.79545455,0,1,7407749867437457972
35.61728395,0,0,7407727940147921434
25.57831325,0,1,7407760903766082083
32.6,0,0,7407720697146966554
27.75862069,0,1,7407773012533117475
42.86111111,0,1,7407777416174715419
20.33333333,0,1,7407693567180767744
22.08219178,0,0,7407722908501426740
27.47142857,0,0,7407835855324332595
7.42857143,0,1,7406528523608867365
19.36036036,0,0,7407637857726185984
34.34,0,0,7408005610237510195
32.01162791,1,0,7408086014138253833
36.17021277,0,0,7408099290410762806
55,0,0,7408101348639654452
22.39393939,0,0,7408103099501478451
25.03571429,1,0,7408111961839256064
34.66666667,0,0,7408117158623838760
29.8,0,0,7408118366819222070
21.48913043,0,0,7408117061082055180
26.9,0,0,7408114018998780470
19.36486486,0,1,7408138216501281299
17.45070423,0,1,7408137081937789451
44.15789474,0,0,7408134694778290738
25.63793103,0,1,7408074231407231538
87,0,0,7408193613638681123
14.68292683,0,0,7408207435208360482
33.27906977,0,0,7408112891385102887
11.63157895,0,0,7408329648494461450
18.1097561,1,0,7408382719199019529
35.3125,0,0,7399557423821898274
24.29411765,0,0,7408421407387959818
14.77011494,0,0,7408434793764913700
17.80769231,0,0,7408441084458402339
21.58163265,0,0,7408446316948292131
27.4125,0,0,7408459751442465314
25.42857143,0,1,7408477800820179490
235.66666667,0,0,7408463360636830248
45.29166667,0,1,1808713812354058
39.16,0,1,7408462934541599270
39.47826087,0,0,7408497948423635490
19.05,0,0,7408402097139417652
25.5625,0,0,7408531186806522379
27.09433962,0,1,7408540996662755875
20.875,0,1,7408551985735090723
22.81481481,0,0,7408587629874250280
40.88888889,0,0,7408507095833231906
17.13953488,0,0,7408762997314830885
18.5952381,0,1,7408735258037846539
39.72727273,0,0,7408488220603761152
33.9,0,0,7408814538176381466
15.73469388,0,0,7408822424290001444
27.28813559,0,0,7408829797922652683
17.69014085,1,0,7408809840568549903
19.92771084,1,1,7408869750228501007
24.45679012,0,0,7408853422847312411
20.55882353,0,0,7408880123606270516
21.67567568,0,1,7408885739108319753
26.31428571,0,0,7408821300744962600
28.66666667,0,0,7405874929084596770
24.97435897,0,0,7408934963360154164
34.19047619,0,1,7408820984158994983
24.70689655,0,0,7408970948256301620
22.38541667,0,1,7408848425262826034
31.13461538,0,1,7408838776585339426
34.76,0,0,1808865518544916
23.68181818,0,1,7408918126059864612
26.8,1,0,7409129546080993802
25.12790698,0,1,7409098624111575603
16.41747573,0,0,7409151165214081590
25.55263158,0,0,7408271036912796179
21.275,0,1,7409212475511472666
28.56,0,0,7409210710179234340
24.46341463,0,0,7409233354141008424
28.375,0,0,7408835702865084962
24.09677419,0,1,7409241874134876691
29.28947368,0,0,7408775357685400079
28.19444444,0,0,7409252340069335578
24.28070175,0,0,7409283024459743783
42.17391304,0,0,7409225015037526579
28.3,0,0,7408773982087938586
25.2195122,0,0,7409330843140850226
43.97674419,0,0,7409249144310612507
23.38235294,0,0,7409345937124737563
22.71264368,0,0,7407771036202041896
30.93333333,0,0,7409499963907899904
25.41558442,0,1,7409493538176303656
20.8974359,0,0,7409534729437741631
23.91089109,0,0,7409544603461780020
22.30666667,0,1,7409105262277853733
20.79381443,0,0,7409568017552523830
