ContentID,dep_list,pos_list,sdp_list,MY_AI,MY_FK,or_quality_finally
news_plf11s00347,"['COO', 'LAD', 'SBV', 'ADV', 'HED', 'RAD', 'RAD', 'PUN', 'ATT', 'ATT', 'HED', 'PUN', 'PUN', 'PUN', 'IC', 'ADV', 'ATT', 'NUM', 'QUN', 'CMP', 'PUN', 'NUM', 'ATT', 'ATT', 'ATT', 'APP', 'COO', 'PUN', 'ATT', 'IS', 'PUN', 'LAD', 'NUM', 'DE', 'ATT', 'ATT', 'ATT', 'APP', 'SBV', 'PUN', 'ATT', 'IS', 'PUN', 'ADV', 'ATT', 'POB', 'HED', 'CMP', 'DE', 'ATT', 'ATT', 'VOB']","['nr', 'c', 'nr', 'ad', 'v', 'y', 'y', 'w', 't', 't', 't', 'w', 'w', 'w', 'v', 'd', 'z', 'm', 'q', 'n', 'w', 'm', 'q', 'ns', 'b', 'n', 'nr', 'w', 'nr', 'nx', 'w', 'c', 'm', 'q', 'u', 'ns', 'b', 'n', 'nr', 'w', 'nr', 'nx', 'w', 'p', 't', 't', 'v', 'v', 'v', 'u', 'n', 'n']","['Agt', 'mPrep', 'Nmod', 'Datv', 'Root', 'mTime', 'mTone', 'mPunc', 'Tmod', 'Tmod', 'Root', 'mPunc', 'Root', 'mPunc', 'rAgt', 'mDegr', 'Desc', 'Quan', 'Qp', 'TDur', 'mPunc', 'Quan', 'Desc', 'Poss', 'Desc', 'Agt', 'Nmod', 'mPunc', 'Nmod', 'eEqu', 'mPunc', 'mConj', 'Quan', 'Desc', 'mAux', 'Orig', 'Desc', 'Agt', 'Nmod', 'mPunc', 'Nmod', 'eEqu', 'mPunc', 'mPrep', 'Tmod', 'Time', 'Root', 'mDir', 'rExp', 'mAux', 'Desc', 'mPunc']",0,1,poor
news_plf11s00348,"['SBV', 'VV', 'ATT', 'VOB', 'HED', 'VOB', 'ATT', 'ATT', 'HED', 'PUN', 'PUN', 'PUN', 'ATT', 'ATT', 'SBV', 'IC', 'VOB', 'ADV', 'ACT', 'ACT', 'VOB', 'IC', 'NUM', 'VOB', 'IC', 'ATT', 'NUM', 'QUN', 'SBV', 'IC', 'ATT', 'VOB', 'PUN', 'IC', 'APP', 'VOB', 'ACT', 'ATT', 'VOB', 'PUN', 'ADV', 'DE', 'ATT', 'SBV', 'HED', 'ATT', 'VOB', 'PUS']","['n', 'v', 'n', 'vn', 'v', 'nr', 't', 't', 't', 'w', 'w', 'w', 'ns', 'n', 'vn', 'Vg', 'nr', 'v', 'n', 'v', 'vn', 'Vg', 'm', 'n', 'v', 'ns', 'm', 'q', 'n', 'v', 'n', 'v', 'w', 'v', 'n', 'nr', 'v', 'n', 'n', 'w', 'r', 'ns', 'u', 'vn', 'v', 'n', 'vn', 'm']","['Agt', 'Root', 'Desc', 'Cont', 'ePurp', 'Datv', 'Tmod', 'Tmod', 'Root', 'mPunc', 'Root', 'mPunc', 'Poss', 'Desc', 'Exp', 'Root', 'Datv', 'eSucc', 'Pat', 'eResu', 'Cons', 'mMod', 'Quan', 'Agt', 'eResu', 'Poss', 'Quan', 'Qp', 'Loc', 'eSucc', 'Agt', 'eSucc', 'mPunc', 'eSucc', 'Datv', 'Agt', 'dCont', 'Desc', 'Pat', 'mPunc', 'Sco', 'Loc', 'mAux', 'Exp', 'eSucc', 'Desc', 'Prod', 'mPunc']",0,1,average
news_plf11s00349,"['ATT', 'DE', 'ATT', 'APP', 'ATT', 'SBV', 'ADV', 'ADV', 'ATT', 'POB', 'ATT', 'VOB', 'POB', 'HED', 'MT', 'VOB', 'ATT', 'SBV', 'ADV', 'ADV', 'IC', 'CMP', 'APP', 'APP', 'DE', 'ATT', 'VOB', 'PUN', 'LAD', 'ATT', 'QUN', 'ADV', 'DE', 'NUM', 'VOB', 'ATT', 'SBV', 'PUN', 'SBV', 'ADV', 'ADV', 'ADV', 'ATT', 'QUN', 'ATT', 'POB', 'IC', 'PUN', 'HED', 'ATT', 'COO', 'LAD', 'ATT', 'ATT', 'DE', 'ATT', 'COO', 'PUN', 'VOB', 'PUS']","['r', 'nx', 'u', 'n', 'nx', 'nr', 'p', 'p', 'nx', 'nx', 'v', 'n', 'f', 'v', 'u', 'n', 'nx', 'nr', 'd', 'p', 'v', 'v', 'n', 'nr', 'nx', 'u', 'n', 'w', 'c', 'r', 'q', 'd', 'v', 'm', 'q', 'u', 'n', 'w', 'n', 'z', 'd', 'p', 'a', 'q', 'Ng', 'n', 'v', 'w', 'v', 'nr', 'nr', 'c', 'nx', 'nx', 'n', 'u', 'nx', 'w', 'nx', 'w']","['Nmod', 'Poss', 'mAux', 'Agt', 'Nmod', 'Nmod', 'mPrep', 'mPrep', 'Nmod', 'Datv', 'dTime', 'Cont', 'mTime', 'Root', 'mTime', 'Pat', 'Nmod', 'Pat', 'mFreq', 'mPrep', 'Root', 'eSucc', 'Clas', 'Nmod', 'Nmod', 'mAux', 'Clas', 'mPunc', 'mConj', 'Sco', 'Qp', 'mTime', 'rExp', 'Quan', 'Qp', 'mAux', 'Agt', 'mPunc', 'Exp', 'eCau', 'mTime', 'mPrep', 'Quan', 'Qp', 'Desc', 'Datv', 'eAdvt', 'mPunc', 'mPars', 'Nmod', 'eCoo', 'mConj', 'Nmod', 'Nmod', 'Time', 'mAux', 'eCoo', 'mPunc', 'eCoo', 'mPunc']",0,1,average
news_plf11s00350,"['ATT', 'ATT', 'ATT', 'ATT', 'HED', 'PUN', 'IS', 'ATT', 'ATT', 'HED', 'PUN', 'PUN', 'PUN', 'NUM', 'QUN', 'HED', 'PUN', 'ATT', 'COO', 'PUN', 'ATT', 'ATT', 'APP', 'ATT', 'COO', 'PUN', 'ATT', 'ATT', 'APP', 'IS', 'PUN']","['t', 'n', 'vn', 'a', 'n', 'w', 'b', 't', 't', 't', 'w', 'w', 'w', 'm', 'q', 'vn', 'w', 'z', 'n', 'w', 'z', 'b', 'n', 'nr', 'nr', 'w', 'z', 'b', 'n', 'nr', 'w']","['Time', 'Nmod', 'Desc', 'Desc', 'Root', 'mPunc', 'eEqu', 'Tmod', 'Tmod', 'Root', 'mPunc', 'Root', 'mPunc', 'Quan', 'Qp', 'Root', 'mPunc', 'Desc', 'eRect', 'mPunc', 'Desc', 'Desc', 'eCoo', 'Nmod', 'Nmod', 'mPunc', 'Desc', 'Desc', 'eCoo', 'Nmod', 'mPunc']",0,1,poor
news_plf11s00351,"['SBV', 'HED', 'ATT', 'SBV', 'ATT', 'ATT', 'VOB', 'ADV', 'DE', 'ATT', 'VOB', 'ATT', 'ATT', 'HED', 'PUN', 'PUN', 'PUN', 'LAD', 'SBV', 'ADV', 'ADV', 'HED', 'PUN', 'ATT', 'NUM', 'ADV', 'SBV', 'ADV', 'VOB', 'MT', 'DE', 'ATT', 'VOB', 'PUN', 'SBV', 'ADV', 'ADV', 'ADV', 'ATT', 'DE', 'ATT', 'POB', 'LAD', 'PUN', 'VOB', 'PUN', 'PUN', 'PUS', 'ADV', 'ATT', 'ATT', 'DE', 'ATT', 'ATT', 'POB', 'PUN', 'ADV', 'IC', 'ATT', 'ATT', 'VOB', 'PUN', 'LAD', 'ATT', 'COO', 'LAD', 'SBV', 'IC', 'MT', 'VOB', 'PUN', 'VV', 'CMP', 'ATT', 'POB', 'DI', 'ADV', 'HED']","['f', 'v', 'a', 'nr', 'v', 'nr', 'n', 'Ng', 'v', 'u', 'n', 't', 't', 't', 'w', 'w', 'w', 'c', 'r', 'd', 'd', 'v', 'w', 'r', 'm', 'q', 'v', 'd', 'v', 'u', 'i', 'u', 'n', 'w', 'nr', 'm', 'd', 'p', 'a', 'nr', 'u', 'n', 'u', 'w', 'v', 'w', 'y', 'w', 'p', 'a', 'nr', 'n', 'u', 'n', 'f', 'w', 'v', 'v', 'b', 'f', 'n', 'w', 'c', 'a', 'nr', 'c', 'nr', 'v', 'u', 'n', 'w', 'v', 'p', 'n', 'f', 'a', 'u', 'v']","['Exp', 'Root', 'Desc', 'Agt', 'dTime', 'Nmod', 'Datv', 'mTime', 'rExp', 'mAux', 'Clas', 'Tmod', 'Tmod', 'Root', 'mPunc', 'Root', 'mPunc', 'mConj', 'Aft', 'mMod', 'mNeg', 'Root', 'mPunc', 'Sco', 'Seq', 'Qp', 'Time', 'mMod', 'dCont', 'mTime', 'Desc', 'mAux', 'Exp', 'mPunc', 'Pat', 'mTime', 'mConj', 'mPrep', 'Desc', 'Poss', 'mAux', 'Exp', 'mPrep', 'mPunc', 'dCont', 'mPunc', 'mTone', 'mPunc', 'mPrep', 'Desc', 'Poss', 'Poss', 'mAux', 'Loc', 'mRang', 'mPunc', 'mMod', 'Root', 'Sco', 'Nmod', 'Cont', 'mPunc', 'mConj', 'Desc', 'Agt', 'mConj', 'Agt', 'eSucc', 'mTime', 'Pat', 'mPunc', 'eSucc', 'mPrep', 'Loc', 'mRang', 'Mann', 'mAux', 'eSucc']",0,1,average
news_plf11s00352,"['DE', 'ADV', 'DE', 'ATT', 'ATT', 'HED', 'ATT', 'ATT', 'HED', 'PUN', 'PUN', 'PUN', 'ADV', 'DE', 'ATT', 'SBV', 'ADV', 'ADV', 'DE', 'ATT', 'POB', 'IC', 'NUM', 'QUN', 'PUN', 'VOB', 'PUN', 'PUN', 'ADV', 'POB', 'DE', 'CMP', 'ATT', 'SBV', 'PUN', 'SBV', 'VOB', 'ADV', 'IC', 'VOB', 'ACT', 'PUN', 'ADV', 'ADV', 'ADV', 'ADV', 'POB', 'ADV', 'IC', 'VOB', 'LAD', 'ADV', 'DI', 'ADV', 'HED']","['t', 'd', 'a', 'u', 'n', 'n', 't', 't', 't', 'w', 'w', 'w', 'l', 'n', 'u', 'vn', 'v', 'p', 'n', 'u', 'n', 'v', 'm', 'q', 'w', 'n', 'w', 'w', 'p', 'n', 'v', 'f', 'u', 'n', 'w', 'v', 'n', 'd', 'v', 'n', 'a', 'w', 'p', 'd', 'v', 'p', 'n', 'd', 'v', 'n', 'f', 'p', 'd', 'u', 'w']","['Time', 'mDegr', 'Desc', 'mAux', 'Desc', 'Root', 'Tmod', 'Tmod', 'Root', 'mPunc', 'Root', 'mPunc', 'mPars', 'Agt', 'mAux', 'Exp', 'Root', 'mPrep', 'Poss', 'mAux', 'Agt', 'dClas', 'Quan', 'Qp', 'mPunc', 'Cont', 'mPunc', 'mPunc', 'mPrep', 'Exp', 'rDatv', 'mRang', 'mAux', 'Agt', 'mPunc', 'dExp', 'Cont', 'mMod', 'eSucc', 'Datv', 'eResu', 'mPunc', 'mPrep', 'mDegr', 'Time', 'mPrep', 'Agt', 'Mann', 'eSucc', 'Dir', 'mConj', 'mPrep', 'Mann', 'mAux', 'mPunc']",0,1,poor
news_plf11s00353,"['SBV', 'ADV', 'POB', 'HED', 'VOB', 'ATT', 'ATT', 'ATT', 'ATT', 'ATT', 'HED', 'PUN', 'PUN', 'PUN', 'ADV', 'SBV', 'ADV', 'APP', 'POB', 'VV', 'IC', 'PUN', 'SBV', 'VV', 'IC', 'ATT', 'VOB', 'PUN', 'ATT', 'ADV', 'COO', 'VOB', 'VV', 'VOB', 'IC', 'ATT', 'ATT', 'SBV', 'PUN', 'DE', 'VOB', 'ATT', 'SBV', 'ATT', 'ATT', 'ATT', 'IC', 'VOB', 'NUM', 'ATT', 'ADV', 'HED', 'PUS']","['nr', 'p', 'nr', 'v', 'n', 'm', 't', 'm', 't', 'm', 't', 'w', 'w', 'w', 'm', 'nr', 'c', 'n', 'nr', 'v', 'v', 'w', 'n', 'v', 'Vg', 'n', 'Ng', 'w', 'n', 'n', 'v', 'n', 'v', 'n', 'v', 'f', 'n', 'n', 'w', 'v', 'n', 'u', 'n', 'a', 'n', 'n', 'v', 'q', 'n', 'n', 'n', 'n', 'w']","['Agt', 'mPrep', 'Datv', 'Root', 'Cont', 'Tmod', 'mPunc', 'Tmod', 'Tmod', 'Quan', 'Root', 'mPunc', 'Root', 'mPunc', 'Seq', 'eCoo', 'mConj', 'Agt', 'Nmod', 'Root', 'Cont', 'mPunc', 'Exp', 'Mann', 'eSucc', 'Desc', 'Cont', 'mPunc', 'Nmod', 'Loc', 'eSucc', 'Cont', 'eCoo', 'Cont', 'eSucc', 'Loc', 'Desc', 'Dir', 'mPunc', 'dDesc', 'Belg', 'mAux', 'Desc', 'Sco', 'Poss', 'Cont', 'Desc', 'Cont', 'Loc', 'Nmod', 'Loc', 'eCoo', 'mPunc']",0,1,poor
news_plf11s00354,"['ADV', 'POB', 'PUN', 'SBV', 'ADV', 'SBV', 'POB', 'VOB', 'HED', 'VOB', 'ATT', 'ATT', 'HED', 'PUN', 'PUN', 'PUN', 'COO', 'PUN', 'IS', 'IS', 'PUN', 'SBV', 'ADV', 'HED', 'ATT', 'COO', 'PUN', 'IS', 'PUN', 'LAD', 'ATT', 'SBV', 'PUN', 'ISC', 'PUN', 'ADV', 'VOB', 'PUN', 'ATT', 'SBV', 'SBV', 'ADV', 'IC', 'COO', 'PUN', 'VOB', 'VV', 'VOB', 'HED', 'VOB', 'PUN']","['p', 'v', 'w', 'nr', 'p', 'nr', 'v', 'n', 'v', 'vn', 't', 't', 't', 'w', 'w', 'w', 'nr', 'w', 'nx', 'nx', 'w', 'nr', 'r', 'v', 'nx', 'nx', 'w', 'z', 'w', 'c', 'r', 'nx', 'w', 'nz', 'w', 'ad', 'v', 'w', 'v', 'k', 'm', 'p', 'v', 'm', 'w', 'm', 'v', 'n', 'v', 'vn', 'w']","['mPrep', 'Accd', 'mPunc', 'Agt', 'mPrep', 'Poss', 'dReas', 'Cont', 'Root', 'Cont', 'Tmod', 'Tmod', 'Root', 'mPunc', 'Root', 'mPunc', 'eEqu', 'mPunc', 'eEqu', 'eEqu', 'mPunc', 'Aft', 'Mann', 'Root', 'Nmod', 'Agt', 'mPunc', 'eEqu', 'mPunc', 'mConj', 'Nmod', 'Pat', 'mPunc', 'Agt', 'mPunc', 'Mann', 'dCont', 'mPunc', 'rAgt', 'Cont', 'Cont', 'mPrep', 'Root', 'Quan', 'mPunc', 'Quan', 'eSucc', 'Cont', 'eSucc', 'Cont', 'mPunc']",0,1,poor
news_plf11s00355,"['ADV', 'PUN', 'DE', 'ATT', 'POB', 'PUN', 'PUN', 'ADV', 'HED', 'VOB', 'ADV', 'ADV', 'POB', 'ACT', 'NUM', 'QUN', 'DE', 'ATT', 'ATT', 'VOB', 'PUN', 'ATT', 'ATT', 'HED', 'PUN', 'PUN', 'PUN', 'HED', 'PUN', 'ATT', 'ATT', 'ATT', 'APP', 'DE', 'ATT', 'ATT', 'ATT', 'TPC', 'PUN', 'SBV', 'HED', 'PUN', 'VOB', 'DE', 'ATT', 'VOB', 'PUN', 'PUS', 'SBV', 'ADV', 'POB', 'IC', 'PUN', 'SBV', 'IC', 'MT', 'NUM', 'QUN', 'VOB', 'PUN', 'SBV', 'ADV', 'HED', 'NUM', 'VOB', 'PUS']","['p', 'w', 'n', 'u', 'vn', 'w', 'w', 'r', 'v', 'n', 'v', 'p', 'nr', 'v', 'm', 'q', 'a', 'u', 'n', 'n', 'w', 't', 't', 't', 'w', 'w', 'w', 'n', 'w', 'ns', 'n', 'n', 'n', 'nr', 'u', 'n', 'n', 'n', 'w', 'Ng', 'Vg', 'w', 'p', 'n', 'u', 'vn', 'w', 'w', 'n', 'p', 'n', 'v', 'w', 'f', 'v', 'u', 'm', 'q', 'n', 'w', 'n', 'a', 'v', 'm', 'q', 'm']","['mPrep', 'mPunc', 'Poss', 'mAux', 'Reas', 'mPunc', 'mPunc', 'Reas', 'Root', 'Exp', 'mMod', 'mPrep', 'Datv', 'eSucc', 'Quan', 'Qp', 'Desc', 'mAux', 'Desc', 'Prod', 'mPunc', 'Tmod', 'Tmod', 'Root', 'mPunc', 'Root', 'mPunc', 'Root', 'mPunc', 'Poss', 'Desc', 'Desc', 'Poss', 'Nmod', 'mAux', 'Desc', 'Desc', 'Exp', 'mPunc', 'Exp', 'Root', 'mPunc', 'mPrep', 'Datv', 'mAux', 'Clas', 'mPunc', 'mPunc', 'Prod', 'mPrep', 'Matl', 'Root', 'mPunc', 'Loc', 'eSucc', 'mTime', 'Quan', 'Qp', 'Exp', 'mPunc', 'Exp', 'Desc', 'mMod', 'Quan', 'eSucc', 'mPunc']",0,1,poor
news_plf11s00356,"['COO', 'PUN', 'SBV', 'ADV', 'ADV', 'POB', 'IC', 'PUN', 'LAD', 'HED', 'VOB', 'ATT', 'ATT', 'ADV', 'PUN', 'SBV', 'IC', 'CMP', 'ATT', 'POB', 'PUN', 'DE', 'ATT', 'APP', 'SBV', 'IC', 'NUM', 'QUN', 'ATT', 'VOB', 'PUN', 'APP', 'SBV', 'HED', 'ATT', 'ATT', 'DE', 'ATT', 'VOB', 'ADV', 'ATT', 'POB', 'IC', 'IC', 'NUM', 'QUN', 'VOB', 'PUN', 'COO', 'LAD', 'SBV', 'PUN', 'NUM', 'ATT', 'ATT', 'ADV', 'PUN', 'SBV', 'IC', 'MT', 'ATT', 'DE', 'ATT', 'NUM', 'QUN', 'VOB', 'PUN', 'NUM', 'QUN', 'ADV', 'SBV', 'ADV', 'ADV', 'NUM', 'ATT', 'POB', 'VV', 'HED']","['nr', 'w', 'nr', 'd', 'p', 'ns', 'v', 'w', 'c', 'v', 'n', 't', 't', 't', 'w', 'nr', 'v', 'p', 'ns', 'ns', 'w', 'r', 'u', 'n', 'nr', 'v', 'm', 'q', 'nz', 'n', 'w', 'n', 'nr', 'v', 'n', 'vn', 'n', 'u', 'n', 'p', 'r', 'f', 'd', 'v', 'm', 'q', 'n', 'w', 'nr', 'c', 'nr', 'w', 'm', 'q', 't', 'q', 'w', 'nr', 'v', 'u', 'n', 'f', 'u', 'm', 'q', 'vn', 'w', 'm', 'q', 'f', 'nr', 'v', 'p', 'm', 'n', 'f', 'v', 'v']","['Agt', 'mPunc', 'Agt', 'mNeg', 'mPrep', 'Loc', 'Root', 'mPunc', 'mConj', 'eConc', 'Exp', 'Tmod', 'Tmod', 'Time', 'mPunc', 'Exp', 'Root', 'mPrep', 'Nmod', 'Loc', 'mPunc', 'Poss', 'mAux', 'Exp', 'Nmod', 'eSucc', 'Quan', 'Qp', 'Desc', 'Clas', 'mPunc', 'Exp', 'Nmod', 'eCoo', 'Desc', 'Desc', 'Desc', 'mAux', 'Clas', 'mPrep', 'Poss', 'Loc', 'mMod', 'Root', 'Quan', 'Qp', 'Exp', 'mPunc', 'eRect', 'mConj', 'eCoo', 'mPunc', 'Quan', 'Desc', 'Sco', 'Time', 'mPunc', 'Agt', 'eSucc', 'mTime', 'Sco', 'mRang', 'mAux', 'Seq', 'Qp', 'Cont', 'mPunc', 'Quan', 'Time', 'mTime', 'Agt', 'eSucc', 'mPrep', 'Quan', 'Loc', 'mRang', 'dCont', 'dCont']",0,1,poor
