ContentID,MY_AI,MY_FK,content_quality_finally,dep_DD,dep_MDD
news_plf11s00347,0,1,poor,"[7, 2, 0, 182]",3.97916667
news_plf11s00348,0,1,average,"[10, 2, 0, 116]",2.90909091
news_plf11s00349,0,1,average,"[36, 205]",4.15517241
news_plf11s00350,0,1,poor,"[8, 2, 0, 70]",2.96296296
news_plf11s00351,0,1,average,"[30, 2, 0, 125, 137]",4.02739726
news_plf11s00352,0,1,poor,"[8, 2, 0, 208]",4.2745098
news_plf11s00353,0,1,poor,"[6, 6, 0, 175]",3.81632653
news_plf11s00354,0,1,poor,"[24, 2, 0, 72, 25]",2.67391304
news_plf11s00355,0,1,poor,"[70, 2, 0, 0, 26, 54]",2.53333333
news_plf11s00356,0,1,poor,"[23, 91, 230]",4.58666667
news_plf11s00357,0,1,average,"[8, 3, 111, 41, 0]",3.70454545
news_plf11s00358,0,1,poor,"[22, 16, 13, 98, 25]",2.55882353
news_plf11s00359,0,1,good,"[8, 2, 0, 82, 58]",3.125
news_plf11s00360,0,1,poor,"[22, 1]",2.3
news_plf11s00361,0,1,poor,"[42, 69, 98]",3.265625
news_plf11s00362,0,1,average,"[3, 28, 2, 0, 102, 44]",3.03389831
news_plf11s00363,0,1,poor,"[38, 21, 131, 0]",3.87755102
news_plf11s00364,0,1,poor,"[1, 2, 0, 198, 13]",4.65217391
news_plf11s00365,0,1,poor,"[8, 2, 0, 119, 6]",3
news_plf11s00366,0,1,poor,"[33, 22, 122, 5]",3.43396226
news_plf11s00367,0,1,average,"[36, 8, 0, 197, 0]",4.30357143
news_plf11s00368,0,1,poor,"[60, 2, 0, 127]",3.43636364
news_plf11s00369,0,1,poor,"[12, 2, 0, 106]",3.52941176
news_plf11s00370,0,1,poor,"[19, 2, 0, 28, 43, 5]",1.90196078
news_plf11s00371,0,1,average,"[11, 2, 0, 134]",3.5
news_plf11s00372,0,1,poor,"[36, 2, 0, 155]",3.50909091
news_plf11s00373,0,1,poor,"[8, 8, 0, 132, 57]",3.41666667
news_plf11s00374,0,1,poor,"[58, 8, 0, 154, 56, 15]",3.42352941
news_plf11s00375,0,1,good,"[6, 135, 70]",4.30612245
news_plf11s00376,0,1,poor,"[19, 2, 0, 292]",5.30508475
news_plf11s00377,0,1,poor,"[1, 3, 2, 0, 19, 0, 3, 40]",1.58139535
news_plf11s00378,0,1,poor,"[66, 2, 0, 165]",3.94915254
news_plf11s00379,0,1,poor,"[27, 2, 0, 30, 123]",3.5
news_plf11s00380,0,1,good,"[41, 2, 0, 173, 4]",3.72881356
news_plf11s00381,0,1,good,"[2, 6, 0, 27, 68]",2.39534884
news_plf11s00382,0,1,average,"[27, 2, 0, 84, 75, 1]",3.09836066
news_plf11s00383,0,1,average,"[15, 2, 0, 33, 75, 13]",2.65384615
news_plf11s00384,0,1,poor,"[2, 1, 59, 48, 1]",3.26470588
news_plf11s00385,0,1,average,"[8, 422]",6.71875
news_plf11s00386,0,1,poor,"[47, 5, 98, 31]",3.06779661
news_plf11s00387,0,1,average,"[27, 2, 0, 29, 105]",3.26
news_plf11s00388,0,1,average,"[21, 2, 0, 98, 60]",3.12068966
news_plf11s00389,0,1,poor,"[15, 2, 0, 49, 76, 3]",2.63636364
news_plf11s00390,0,1,average,"[8, 2, 0, 183, 13]",3.88679245
news_plf11s00391,0,1,average,"[13, 2, 0, 17, 143]",3.24074074
news_plf11s00392,0,1,poor,"[27, 2, 0, 165, 20]",3.89090909
news_plf11s00393,0,1,poor,"[2, 2, 0, 108, 68]",3.91304348
news_plf11s00394,0,1,good,"[45, 127, 14]",3.50943396
news_plf11s00395,0,1,average,"[34, 2, 0, 108, 87]",3.85
news_plf11s00396,0,1,poor,"[0, 24, 162, 52]",3.55223881
news_plf11s00397,0,1,poor,"[56, 99]",4.55882353
news_plf11s00398,0,1,poor,"[37, 8, 0, 81, 40]",3.01818182
news_plf11s00399,0,1,poor,"[37, 5, 29, 8, 0, 81, 40]",2.7027027
news_plf11s00400,0,1,poor,"[17, 97, 45, 2]",3.03773585
news_plf11s00401,0,1,poor,"[33, 2, 0, 17, 21, 19, 3, 0]",1.79245283
news_plf11s00402,0,1,average,"[30, 2, 0, 103, 22, 0]",2.96226415
news_plf11s00403,0,1,poor,"[4, 2, 0, 0, 65, 21, 13]",2.33333333
news_plf11s00404,0,1,average,"[15, 2, 0, 104, 38]",3.11764706
news_plf11s00405,0,1,poor,"[0, 0, 0, 9, 78, 50]",3.26190476
news_plf11s00406,0,1,poor,"[13, 2, 0, 0, 0, 15, 18, 48]",2.04255319
news_plf11s00407,0,1,poor,"[10, 2, 0, 16, 26, 33]",1.89130435
news_plf11s00408,0,1,average,"[33, 2, 0, 138]",3.32692308
news_plf11s00409,0,1,average,"[16, 2, 0, 170]",4.08695652
news_plf11s00410,0,1,poor,"[40, 2, 0, 5, 116, 32, 65]",3.17073171
news_plf11s00411,0,1,average,"[40, 2, 0, 191, 6]",3.67692308
news_plf11s00412,0,1,poor,"[32, 2, 0, 232, 7]",4.40322581
news_plf11s00413,0,1,poor,"[16, 2, 0, 119, 24, 46]",3.234375
news_plf11s00414,0,1,poor,"[9, 136, 116, 9]",4.65517241
news_plf11s00415,0,1,poor,"[3, 2, 0, 88, 11, 0, 19]",2.61702128
news_plf11s00416,0,1,poor,"[28, 2, 0, 6, 126, 0]",2.89285714
news_plf11s00417,0,1,poor,"[44, 2, 0, 79, 55]",2.85714286
news_plf11s00418,0,1,poor,"[20, 2, 0, 18, 98]",3.28571429
news_plf11s00419,0,1,poor,"[30, 51, 64]",3.02083333
news_plf11s00420,0,1,average,"[44, 112, 23]",3.25454545
news_plf11s00421,0,1,good,"[11, 38, 21, 95]",3.17307692
news_plf11s00422,0,1,poor,"[53, 1]",2.57142857
news_plf11s00423,0,1,poor,"[15, 2, 0, 9, 1, 4, 81]",2.54545455
news_plf11s00424,0,1,poor,"[2, 2, 0, 184, 3]",4.34090909
news_plf11s00425,0,1,average,"[25, 16, 22, 14]",1.75
news_plf11s00426,0,1,good,"[21, 82, 59, 9]",3.42
news_plf11s00427,0,1,poor,"[17, 2, 141, 43]",3.32786885
news_plf11s00428,0,1,poor,"[28, 2, 0, 77, 22]",2.63265306
news_plf11s00429,0,1,average,"[4, 98, 143]",3.65671642
news_plf11s00430,0,1,poor,"[53, 256]",6.57446809
news_plf11s00431,0,1,average,"[7, 2, 0, 66, 88]",3.13461538
news_plf11s00432,0,1,average,"[40, 8, 0, 58]",2.35555556
